date,p_state_0,p_state_1,hard_state,max_prob
2018-05-01,0.8608701451676356,0.13912985483236437,0,0.8608701451676356
2018-05-02,0.9889908765722446,0.011009123427755148,0,0.9889908765722446
2018-05-03,0.8048179410418989,0.19518205895810117,0,0.8048179410418989
2018-05-04,0.9999985386408119,1.4613591878792663e-06,0,0.9999985386408119
2018-05-07,0.4839931537952577,0.516006846204742,1,0.516006846204742
2018-05-08,0.06275738306017002,0.9372426169398299,1,0.9372426169398299
2018-05-09,0.9516853214848222,0.048314678515177754,0,0.9516853214848222
2018-05-10,0.9958988256295912,0.004101174370408973,0,0.9958988256295912
2018-05-11,0.28511468839093984,0.7148853116090599,1,0.7148853116090599
2018-05-14,0.030133869858187504,0.9698661301418127,1,0.9698661301418127
2018-05-15,0.24309813344427456,0.7569018665557258,1,0.7569018665557258
2018-05-16,0.04099939944020681,0.9590006005597932,1,0.9590006005597932
2018-05-17,0.008695059349112504,0.9913049406508875,1,0.9913049406508875
2018-05-18,0.0062902921219248845,0.9937097078780751,1,0.9937097078780751
2018-05-21,0.2157451810543566,0.7842548189456431,1,0.7842548189456431
2018-05-22,0.01082216222021831,0.9891778377797817,1,0.9891778377797817
2018-05-23,0.0033013054036740075,0.996698694596326,1,0.996698694596326
2018-05-24,0.0028153792161416725,0.9971846207838583,1,0.9971846207838583
2018-05-25,0.003097684605876193,0.9969023153941239,1,0.9969023153941239
2018-05-29,0.9985409387736145,0.001459061226385249,0,0.9985409387736145
2018-05-30,0.9999990543479059,9.456520943223089e-07,0,0.9999990543479059
2018-05-31,0.7387553594214052,0.2612446405785949,0,0.7387553594214052
2018-06-01,0.9934131477225319,0.006586852277468005,0,0.9934131477225319
2018-06-04,0.28297678425555833,0.7170232157444419,1,0.7170232157444419
2018-06-05,0.014176565848923926,0.9858234341510761,1,0.9858234341510761
2018-06-06,0.43951690931784776,0.5604830906821524,1,0.5604830906821524
2018-06-07,0.025862023017182382,0.9741379769828175,1,0.9741379769828175
2018-06-08,0.004076987858280608,0.9959230121417194,1,0.9959230121417194
2018-06-11,0.002951301894580125,0.9970486981054199,1,0.9970486981054199
2018-06-12,0.0029361971401714836,0.9970638028598284,1,0.9970638028598284
2018-06-13,0.0042974341571617595,0.9957025658428382,1,0.9957025658428382
2018-06-14,0.0027341961506429234,0.9972658038493571,1,0.9972658038493571
2018-06-15,0.0028346726663668735,0.9971653273336332,1,0.9971653273336332
2018-06-18,0.0029889988386484043,0.9970110011613517,1,0.9970110011613517
2018-06-19,0.005531990682648598,0.9944680093173515,1,0.9944680093173515
2018-06-20,0.0023414017723580914,0.9976585982276419,1,0.9976585982276419
2018-06-21,0.04803247011600866,0.9519675298839911,1,0.9519675298839911
2018-06-22,0.0033463107569885455,0.9966536892430115,1,0.9966536892430115
2018-06-25,0.9999964773321695,3.522667830180116e-06,0,0.9999964773321695
2018-06-26,0.09900666371107354,0.9009933362889265,1,0.9009933362889265
2018-06-27,0.5614940980026335,0.4385059019973667,0,0.5614940980026335
2018-06-28,0.10472233632106452,0.8952776636789356,1,0.8952776636789356
2018-06-29,0.003244966994594903,0.9967550330054051,1,0.9967550330054051
2018-07-02,0.0018220086168529769,0.998177991383147,1,0.998177991383147
2018-07-03,0.00354366122306878,0.9964563387769312,1,0.9964563387769312
2018-07-05,0.1855517250254803,0.81444827497452,1,0.81444827497452
2018-07-06,0.5062515680906468,0.4937484319093533,0,0.5062515680906468
2018-07-09,0.8903967036569984,0.10960329634300116,0,0.8903967036569984
2018-07-10,0.08036607199055691,0.9196339280094431,1,0.9196339280094431
2018-07-11,0.2568030500955638,0.7431969499044364,1,0.7431969499044364
2018-07-12,0.8589381976425442,0.14106180235745563,0,0.8589381976425442
2018-07-13,0.07192227414566894,0.9280777258543311,1,0.9280777258543311
2018-07-16,0.0060156578637382075,0.9939843421362619,1,0.9939843421362619
2018-07-17,0.006870974615456464,0.9931290253845435,1,0.9931290253845435
2018-07-18,0.0034845922878990864,0.9965154077121009,1,0.9965154077121009
2018-07-19,0.008010531614277568,0.9919894683857224,1,0.9919894683857224
2018-07-20,0.0036144503747143632,0.9963855496252857,1,0.9963855496252857
2018-07-23,0.003105538322522628,0.9968944616774774,1,0.9968944616774774
2018-07-24,0.006705411659388247,0.9932945883406117,1,0.9932945883406117
2018-07-25,0.31144265547210304,0.6885573445278969,1,0.6885573445278969
2018-07-26,0.008195979567479108,0.9918040204325208,1,0.9918040204325208
2018-07-27,0.06750519369753025,0.9324948063024701,1,0.9324948063024701
2018-07-30,0.020129147682267545,0.9798708523177324,1,0.9798708523177324
2018-07-31,0.00809481791969241,0.9919051820803076,1,0.9919051820803076
2018-08-01,0.002455542169318301,0.9975444578306817,1,0.9975444578306817
2018-08-02,0.009985960097494112,0.9900140399025059,1,0.9900140399025059
2018-08-03,0.004167761325525643,0.9958322386744743,1,0.9958322386744743
2018-08-06,0.002664354620044486,0.9973356453799556,1,0.9973356453799556
2018-08-07,0.0022613564024172076,0.9977386435975828,1,0.9977386435975828
2018-08-08,0.0019287605289482139,0.9980712394710518,1,0.9980712394710518
2018-08-09,0.0017143648524859149,0.998285635147514,1,0.998285635147514
2018-08-10,0.049025029714947925,0.9509749702850516,1,0.9509749702850516
2018-08-13,0.004657633068262122,0.9953423669317379,1,0.9953423669317379
2018-08-14,0.020533907240637524,0.9794660927593625,1,0.9794660927593625
2018-08-15,0.1558786816673991,0.8441213183326011,1,0.8441213183326011
2018-08-16,0.3200772868067496,0.6799227131932501,1,0.6799227131932501
2018-08-17,0.010787239723471027,0.9892127602765289,1,0.9892127602765289
2018-08-20,0.002030066643613974,0.9979699333563861,1,0.9979699333563861
2018-08-21,0.0019133716994598196,0.9980866283005402,1,0.9980866283005402
