date,p_state_0,p_state_1,p_state_2,hard_state,max_prob
2022-11-17,2.812793366913321e-23,0.9984336568831402,0.0015663431168597094,1,0.9984336568831402
2022-11-18,2.920808745044392e-21,0.9991437851143027,0.000856214885697095,1,0.9991437851143027
2022-11-21,5.776730954988823e-21,0.9990707575243674,0.0009292424756324657,1,0.9990707575243674
2022-11-22,1.3676031255503126e-24,0.9977404683423728,0.002259531657626799,1,0.9977404683423728
2022-11-23,1.1324464089482117e-20,0.9992635427580026,0.000736457241997514,1,0.9992635427580026
2022-11-25,7.307599416041305e-20,0.9990177985301386,0.0009822014698612303,1,0.9990177985301386
2022-11-28,6.778312764440495e-26,0.9927964676373486,0.007203532362651532,1,0.9927964676373486
2022-11-29,7.914090561476091e-19,0.9991553125369037,0.0008446874630961939,1,0.9991553125369037
2022-11-30,5.1086469124677196e-51,0.014141656805224972,0.9858583431947746,2,0.9858583431947746
2022-12-01,4.674202705097479e-20,0.9212966215034931,0.07870337849650692,1,0.9212966215034931
2022-12-02,7.882069008917977e-18,0.9977736184321145,0.0022263815678854586,1,0.9977736184321145
2022-12-05,1.9765576211322657e-28,0.9803176719247948,0.01968232807520552,1,0.9803176719247948
2022-12-06,3.496321046194266e-26,0.9912226197625795,0.00877738023742072,1,0.9912226197625795
2022-12-07,9.417977227738463e-21,0.9987383259964191,0.0012616740035807492,1,0.9987383259964191
2022-12-08,2.0873849902548602e-19,0.9994319375418663,0.000568062458133741,1,0.9994319375418663
2022-12-09,1.4965752056712454e-07,0.9998485710087703,0.00015127933370904056,1,0.9998485710087703
2022-12-12,1.2224578318259297e-11,0.9995727624586528,0.0004272375291226761,1,0.9995727624586528
2022-12-13,1.1265085499938946e-07,0.9998817586336831,0.00011812871546185453,1,0.9998817586336831
2022-12-14,1.9234551334322352e-07,0.9998634985127981,0.00013630914168867627,1,0.9998634985127981
2022-12-15,4.163880709261375e-26,0.8556237135185424,0.14437628648145812,1,0.8556237135185424
2022-12-16,6.084281857609626e-13,0.9973809615637784,0.002619038435613262,1,0.9973809615637784
2022-12-19,4.003870429778546e-11,0.9997666537521682,0.00023334620779283166,1,0.9997666537521682
