ticker,horizon,model,realized_ann_vol,vol_error,sharpe,max_drawdown,mean_leverage,turnover,var_violation_rate,var_p_uc,var_p_ind,var_p_cc,var_mean_level
EEM,1,ewma,0.1292796599017894,0.029279659901789407,0.11707897374297634,-0.3628255109670012,0.7103316570325767,0.017763859722906148,0.053194741669214306,0.4064708915149129,0.12302046267889899,0.2157211010372332,-0.02004176344749734
EEM,1,garch11,0.126777092821495,0.026777092821494985,0.11830030187721974,-0.3495992306624589,0.699476941001032,0.03284796741724185,0.051971874044634665,0.6070524478869648,0.9542634977017613,0.874686737893635,-0.019577821778313197
EEM,1,gbm_gated,0.13019933766318695,0.030199337663186943,0.025021811958120848,-0.40988957284315397,0.689882977212288,0.10698909201071152,0.05350045857535922,0.3634989342716898,0.5818362665846502,0.5686318692689941,-0.020339366935981654
EEM,1,gbm_pooled,0.12258588395729846,0.02258588395729845,0.13318550439788895,-0.3600465276356293,0.6557634519765204,0.06004548692571067,0.05533476001222867,0.16840199802507383,0.3380144660909523,0.2447471911831044,-0.01941640893407265
EEM,1,har,0.12967269237024562,0.029672692370245612,0.1406189837455482,-0.3528887088750363,0.7143276422553587,0.06811704679694287,0.052583307856924486,0.5012696499889724,0.741865863423081,0.755503843269519,-0.020023804091683636
EEM,1,regime_features,0.1254193508177096,0.0254193508177096,0.1120835052001676,-0.330806728619763,0.6891227375161719,0.07718209476176885,0.053806175481504126,0.3235573391117139,0.24880651515829344,0.31592430991483433,-0.019681127349681776
EEM,1,regime_gate_shuffle,0.12526592630058234,0.02526592630058233,0.1590165606173017,-0.3296076593599315,0.6781105769608361,0.07678199854627249,0.05350045857535922,0.3634989342716898,0.23306274845085084,0.32500326352548714,-0.019550572441507093
EEM,1,regime_normal,0.12518306854162023,0.025183068541620224,0.11056501894087131,-0.3387832947266727,0.6818603740673493,0.06162334524325126,0.052583307856924486,0.5012696499889724,0.741865863423081,0.755503843269519,-0.019684220150397686
EEM,1,regime_shrunk,0.12456177454390113,0.024561774543901127,0.11577293587065196,-0.3339219719505462,0.6801305808069005,0.06003747683060454,0.051971874044634665,0.6070524478869648,0.45820985415784765,0.6653934637688232,-0.019513783940823825
EEM,1,regime_single,0.12622683437042595,0.026226834370425944,0.12675522786544868,-0.3251748038232547,0.693758519806307,0.08611321204227038,0.05136044023234485,0.7222243965398011,0.41293368066920044,0.6714237353322074,-0.01975520776644306
EEM,1,ridge,0.12622683437042595,0.026226834370425944,0.12675522786544868,-0.3251748038232547,0.693758519806307,0.08611321204227038,0.05136044023234485,0.7222243965398011,0.41293368066920044,0.6714237353322074,-0.01975520776644306
EEM,1,rw_vol,0.3400747482660424,0.2400747482660424,0.23156244325580297,-0.7206086201185435,1.3919282900619543,1.2426432669670353,0.04952613879547539,0.9008905089572621,0.0011717172990525215,0.005118140832115814,-0.06257087090223504
EEM,5,ewma,0.10720826163246386,0.007208261632463853,0.11706819871878707,-0.3040559793563552,0.5849863220319259,0.013452124893103146,,,,,
EEM,5,garch11,0.10472482173152241,0.004724821731522402,0.13020334975033124,-0.2909580910221894,0.5737913274812865,0.023463440650098432,,,,,
EEM,5,gbm_gated,0.10488734542619615,0.004887345426196149,0.10431437257127797,-0.3120518480792911,0.5645952135264551,0.04764789035491289,,,,,
EEM,5,gbm_pooled,0.10438949409630867,0.004389494096308663,0.10075166796160828,-0.32312926918660945,0.560518544096642,0.03676623258406983,,,,,
EEM,5,har,0.10626672075643384,0.006266720756433836,0.1475951589876019,-0.29986708590978495,0.5833562650556325,0.04362371067147561,,,,,
EEM,5,regime_features,0.10488943232792543,0.004889432327925422,0.12887857081443185,-0.2846746222931812,0.5802806270409402,0.04882684605260314,,,,,
EEM,5,regime_gate_shuffle,0.10340070061925959,0.0034007006192595807,0.14813289357625786,-0.27619875659859305,0.5657948615175559,0.04930840801213149,,,,,
EEM,5,regime_normal,0.10337904046931529,0.003379040469315281,0.11867702077968066,-0.2858212315020604,0.565212341267121,0.03757873085112651,,,,,
EEM,5,regime_shrunk,0.10409375750041742,0.004093757500417419,0.12569527137754719,-0.28455879377824056,0.572065383266915,0.039622188528604864,,,,,
EEM,5,regime_single,0.10576366971953229,0.00576366971953228,0.13504265445497535,-0.28708938061144695,0.5863602220815497,0.050058226444018125,,,,,
EEM,5,ridge,0.10576366971953229,0.00576366971953228,0.13504265445497535,-0.28708938061144695,0.5863602220815497,0.050058226444018125,,,,,
EEM,5,rw_vol,0.1297446747653253,0.029744674765325302,0.15241918011604277,-0.4086899882484091,0.707635185133176,0.12241713220323582,,,,,
EEM,20,ewma,0.09920081081729856,0.000799189182701443,0.1431918391607385,-0.26847117309533863,0.5300670102329015,0.009151579048162137,,,,,
EEM,20,garch11,0.09731793965361119,0.0026820603463888204,0.1642200944946076,-0.25728283941541774,0.5200117015101599,0.014009758214857348,,,,,
EEM,20,gbm_gated,0.10014805988107074,0.0001480598810707362,0.14875729315273603,-0.2644754700214572,0.530443053601943,0.035349251765074044,,,,,
EEM,20,gbm_pooled,0.09962469492768167,0.0003753050723183382,0.12002725121921316,-0.2955271427477165,0.5277500500780119,0.027326746050612152,,,,,
EEM,20,har,0.09848813227384559,0.0015118677261544144,0.15072264057745605,-0.27201277349766007,0.5279029082991062,0.02838048540617425,,,,,
EEM,20,regime_features,0.09817522956679971,0.0018247704332002984,0.1475654572002328,-0.2610500177730316,0.5315608013937635,0.03517618503010378,,,,,
EEM,20,regime_gate_shuffle,0.10308801708685494,0.0030880170868549384,0.19972995386997572,-0.2455324776627008,0.5399997217369658,0.05239715362202637,,,,,
