ticker,horizon,loss,model,in_mcs,mcs_p,set_size
EFA,1,qlike,ridge,True,0.1315,9
EFA,5,mse,ewma,True,0.104,7
EFA,5,mse,garch11,True,0.104,7
EFA,5,mse,gbm_gated,False,0.0565,7
EFA,5,mse,gbm_pooled,False,0.0475,7
EFA,5,mse,har,True,0.104,7
EFA,5,mse,regime_features,True,0.104,7
EFA,5,mse,regime_normal,True,0.104,7
EFA,5,mse,regime_shrunk,True,0.104,7
EFA,5,mse,ridge,True,0.104,7
EFA,5,qlike,ewma,True,0.457,9
EFA,5,qlike,garch11,True,0.457,9
EFA,5,qlike,gbm_gated,True,0.457,9
EFA,5,qlike,gbm_pooled,True,0.457,9
EFA,5,qlike,har,True,0.457,9
EFA,5,qlike,regime_features,True,0.457,9
EFA,5,qlike,regime_normal,True,0.457,9
EFA,5,qlike,regime_shrunk,True,0.457,9
EFA,5,qlike,ridge,True,0.457,9
EFA,20,mse,ewma,True,0.1505,6
EFA,20,mse,garch11,True,0.1505,6
EFA,20,mse,gbm_gated,False,0.0355,6
EFA,20,mse,gbm_pooled,False,0.0355,6
EFA,20,mse,har,True,0.1505,6
EFA,20,mse,regime_features,True,0.1505,6
EFA,20,mse,regime_normal,False,0.0355,6
EFA,20,mse,regime_shrunk,True,0.1505,6
EFA,20,mse,ridge,True,0.1505,6
EFA,20,qlike,ewma,True,0.103,7
EFA,20,qlike,garch11,True,0.103,7
EFA,20,qlike,gbm_gated,True,0.103,7
EFA,20,qlike,gbm_pooled,False,0.094,7
EFA,20,qlike,har,True,0.103,7
EFA,20,qlike,regime_features,True,0.103,7
EFA,20,qlike,regime_normal,False,0.046,7
EFA,20,qlike,regime_shrunk,True,0.103,7
EFA,20,qlike,ridge,True,0.103,7
FXE,1,mse,ewma,True,0.653,2
FXE,1,mse,garch11,True,0.653,2
FXE,1,mse,gbm_gated,False,0.0,2
FXE,1,mse,gbm_pooled,False,0.0,2
FXE,1,mse,har,False,0.0005,2
FXE,1,mse,regime_features,False,0.0,2
FXE,1,mse,regime_normal,False,0.0,2
FXE,1,mse,regime_shrunk,False,0.0005,2
FXE,1,mse,ridge,False,0.0005,2
FXE,1,qlike,ewma,True,0.659,8
FXE,1,qlike,garch11,True,0.659,8
FXE,1,qlike,gbm_gated,False,0.0245,8
FXE,1,qlike,gbm_pooled,True,0.659,8
FXE,1,qlike,har,True,0.659,8
FXE,1,qlike,regime_features,True,0.659,8
FXE,1,qlike,regime_normal,True,0.659,8
FXE,1,qlike,regime_shrunk,True,0.659,8
FXE,1,qlike,ridge,True,0.659,8
FXE,5,mse,ewma,True,0.781,2
FXE,5,mse,garch11,True,0.781,2
FXE,5,mse,gbm_gated,False,0.0,2
FXE,5,mse,gbm_pooled,False,0.0,2
FXE,5,mse,har,False,0.0035,2
FXE,5,mse,regime_features,False,0.0,2
FXE,5,mse,regime_normal,False,0.0,2
FXE,5,mse,regime_shrunk,False,0.0,2
FXE,5,mse,ridge,False,0.0005,2
FXE,5,qlike,ewma,True,0.343,2
FXE,5,qlike,garch11,True,0.343,2
