dgp,has_true_regimes,rep,horizon,rmse_gated,rmse_pooled,improvement_pct,uncond_vol,excess_persistence_no_vol,state_recovery_ari,sep_ratio,monotone,mean_self_transition,excess_persistence,n_states_used,state_entropy,redundancy_acc,redundancy_base_rate
ms_level,True,2,5,0.005916772428633481,0.0059936175487766905,1.2821158426915933,0.010320887607277708,0.17290492462647464,0.5878445798846645,3.354418855036289,True,0.7725711323336295,0.439237799000296,3,0.9639199446484173,0.9750778816199377,0.6610591900311527
ms_level,True,2,20,0.005610181187619236,0.005762327797863759,2.6403671499029895,0.010320887607277708,0.17290492462647464,0.5878445798846645,3.354418855036289,True,0.7725711323336295,0.439237799000296,3,0.9639199446484173,0.9750778816199377,0.6610591900311527
ms_level,True,6,1,0.008828835352715489,0.008885880822139956,0.6419787814656804,0.010726715647631606,0.23524404269878416,0.3273087454504135,3.044894615071521,True,0.6581400508441114,0.32480671751077805,3,1.09688268532,0.9806853582554517,0.5003115264797507
ms_level,True,6,5,0.006190182803723186,0.006287101854524461,1.5415536926847861,0.010726715647631606,0.23524404269878416,0.3273087454504135,3.044894615071521,True,0.6581400508441114,0.32480671751077805,3,1.09688268532,0.9806853582554517,0.5003115264797507
ms_level,True,6,20,0.005616967922539837,0.005659129169785691,0.7450129866438665,0.010726715647631606,0.23524404269878416,0.3273087454504135,3.044894615071521,True,0.6581400508441114,0.32480671751077805,3,1.09688268532,0.9806853582554517,0.5003115264797507
ms_level,True,5,1,0.008067851388527928,0.008090704666355784,0.2824633795235236,0.01020243972011056,0.2410522921412032,0.2896589504527246,3.3156986917573903,True,0.6709755308886249,0.33764219755529146,3,1.093852521183444,0.9757009345794393,0.36386292834890965
ms_level,True,5,5,0.005726491887773318,0.005754329456790218,0.483767382905957,0.01020243972011056,0.2410522921412032,0.2896589504527246,3.3156986917573903,True,0.6709755308886249,0.33764219755529146,3,1.093852521183444,0.9757009345794393,0.36386292834890965
ms_level,True,5,20,0.005647846655999825,0.005611202612658527,-0.6530515091119944,0.01020243972011056,0.2410522921412032,0.2896589504527246,3.3156986917573903,True,0.6709755308886249,0.33764219755529146,3,1.093852521183444,0.9757009345794393,0.36386292834890965
ms_level,True,7,1,0.008023722950954047,0.00803575847217588,0.14977455163077666,0.010067009162114119,0.21119377922116597,0.2320162415586851,3.061682692084325,True,0.6648273707085407,0.3314940373752074,3,1.0835079716932294,0.9775700934579439,0.3925233644859813
ms_level,True,7,5,0.00587662306925093,0.00587384632519145,-0.04727301168180965,0.010067009162114119,0.21119377922116597,0.2320162415586851,3.061682692084325,True,0.6648273707085407,0.3314940373752074,3,1.0835079716932294,0.9775700934579439,0.3925233644859813
ms_level,True,7,20,0.005787452332902489,0.005706678013715736,-1.4154350217870308,0.010067009162114119,0.21119377922116597,0.2320162415586851,3.061682692084325,True,0.6648273707085407,0.3314940373752074,3,1.0835079716932294,0.9775700934579439,0.3925233644859813
ms_level,True,9,1,0.008924348331559353,0.008922305433898542,-0.02289652238365871,0.010631141555157615,0.19536196553535054,0.519907140014973,3.2935129897641913,True,0.8153824531303663,0.48204911979703297,3,0.9675916917052214,0.9607476635514018,0.550778816199377
