target,horizon,target_family,model,model_family,n_oos,rmse,mae,qlike,spearman,top_decile_hit,rmse_hv_now,mae_hv_now,rmse_hv_fut,mae_hv_fut,sel_K_mean,sel_K_mode,sel_soft_frac,ablation_train,ablation_test
y_absret_h20,20,point_absret,regime_expert_shuffle,regime,3771,0.00818635454660816,0.005361072769598316,2.6194250344161825,0.08935223538272671,0.18783068783068782,0.01100995487601471,0.00793314163083182,0.02150945717216965,0.0171207026909296,2.933333333333333,3.0,0.6,shuffle,true
y_absret_h20,20,point_absret,regime_gate_shuffle,regime,3771,0.008141013194406702,0.00533622423198897,2.5882276266256854,0.10233689554207413,0.1984126984126984,0.010786715120561561,0.007703003352084701,0.02158686080006485,0.017438592597098932,3.1333333333333333,4.0,0.6,true,shuffle
y_absret_h20,20,point_absret,regime_normal,regime,3771,0.00815862175856787,0.005353823147593698,2.5981532467385744,0.0883466622005998,0.1984126984126984,0.010858092714320847,0.007937925646074168,0.021420503142781554,0.01692624061930709,3.0,2.0,0.4,true,true
y_absret_h20,20,point_absret,regime_single,regime,3771,0.008097120217805173,0.005297023263817603,2.575604287295799,0.12945053137114748,0.21693121693121692,0.01054823586203601,0.007654388069041189,0.02140951116540033,0.01705935851146124,2.0,2.0,0.0,single,single
y_absret_h20,20,point_absret,ridge,baseline,3771,0.008097120217805173,0.005297023263817603,2.575604287295799,0.12945053137114748,0.21693121693121692,0.01054823586203601,0.007654388069041189,0.02140951116540033,0.01705935851146124,,,,,
y_absret_h20,20,point_absret,rw_vol,baseline,3771,0.009192482295807568,0.006184828343209771,2.234575504887009,0.18522526520076507,0.25925925925925924,0.016684552382029195,0.0134686259022523,0.01965133822357121,0.014466290053369638,,,,,
y_absret_h20,20,point_absret,train_mean,baseline,3771,0.008424545427299385,0.005714037082497018,2.7763348838976283,-0.03365028189500986,0.05389221556886228,0.011244451177740984,0.0076982845103029714,0.021885131621253953,0.017619092506130116,,,,,
y_absret_h20,20,point_absret,zero,baseline,3771,0.010846010445550938,0.007155756667322219,13850.537735664195,0.0,0.10023866348448687,0.015357918176639486,0.01138563995111115,0.028041061219735555,0.025035994974937054,,,,,
y_absret_h5,5,point_absret,ewma,baseline,3771,0.007593202348086936,0.004963731736000129,2.0887099186941107,0.26647874835889546,0.3439153439153439,0.014112712412898406,0.009338989869986275,0.019582948918951446,0.015374278909448291,,,,,
y_absret_h5,5,point_absret,garch11,baseline,3771,0.007470791071064782,0.004940688352631413,2.035963900880461,0.27261084439372735,0.35978835978835977,0.01363691363228391,0.00926463467271754,0.01905768776800607,0.015208941345338933,,,,,
y_absret_h5,5,point_absret,har,baseline,3771,0.007543443919527767,0.004958403282976518,2.091008577113941,0.27305889096144653,0.3439153439153439,0.013932527932763191,0.009271047924320179,0.019258362207739063,0.015260443307570353,,,,,
